#Machine :  Obelix
#CPU : Intel(R) Core(TM) i7-4790K CPU @ 4.00GHz
#Date début : 20220407_182813
#Limite de 60 secondes par test
Taille des fichiers source :
  81  296 2669 carte.cpp
  56  194 1491 coordonnee.cpp
  77  260 2306 tp3.cpp
  35  100  983 carte.h
  33   84  785 coordonnee.h
 282  934 8234 total
#
Test            	Miss	CPU	Mém.(k)	diff
uqam-missions-0.txt	1	0.00	3520k	Different
uqam-missions-1.txt	6	0.00	3668k	Different
uqam-missions-D0.txt	1	0.00	3556k	Different
uqam-missions-D1.txt	2	0.00	3668k	Different
uqam-missions-D2.txt	10	0.00	3552k	Different
uqam-missions-D3.txt	100	0.00	3568k	Different
uqam-missions-D4.txt	500	0.00	3728k	Different
uqam-missions-D5.txt	1000	0.00	3588k	Different
uqam-missions-D6.txt	5000	0.00	3676k	Different
uqam-missions-F02.txt	10	0.00	3556k	Different
uqam-missions-F03.txt	10	0.00	3688k	Different
uqam-missions-F04.txt	10	0.00	3664k	Different
uqam-missions-F05.txt	10	0.00	3620k	Different
uqam-missions-F07.txt	10	0.00	3528k	Different
uqam-missions-F08.txt	10	0.00	3680k	Different
uqam-missions-F09.txt	10	0.00	3680k	Different
uqam-missions-F10.txt	10	0.00	3692k	Different
uqam-missions-F11.txt	10	0.00	3676k	Different
uqam-missions-F12.txt	10	0.00	3584k	Different
uqam-missions-F13.txt	10	0.00	3668k	Different
stejulie-missions-D0.txt	1	0.00	3564k	Different
stejulie-missions-D1.txt	2	0.00	3676k	Different
stejulie-missions-D2.txt	10	0.00	3688k	Different
stejulie-missions-D3.txt	100	0.00	3520k	Different
stejulie-missions-D4.txt	500	0.00	3704k	Different
stejulie-missions-D5.txt	1000	0.01	3624k	Different
stejulie-missions-D6.txt	5000	0.01	3680k	Different
stejulie-missions-F02.txt	10	0.00	3676k	Different
stejulie-missions-F03.txt	10	0.00	3676k	Different
stejulie-missions-F04.txt	10	0.00	3520k	Different
stejulie-missions-F05.txt	10	0.00	3688k	Different
stejulie-missions-F07.txt	10	0.00	3560k	Different
stejulie-missions-F08.txt	10	0.00	3524k	Different
stejulie-missions-F09.txt	10	0.00	3688k	Different
stejulie-missions-F10.txt	10	0.00	3616k	Different
stejulie-missions-F11.txt	10	0.00	3684k	Different
stejulie-missions-F12.txt	10	0.00	3588k	Different
stejulie-missions-F13.txt	10	0.00	3632k	Different
montsthilaire-missions-D0.txt	1	0.00	3552k	Different
montsthilaire-missions-D1.txt	2	0.00	3688k	Different
montsthilaire-missions-D2.txt	10	0.00	3532k	Different
montsthilaire-missions-D3.txt	100	0.00	3520k	Different
montsthilaire-missions-D4.txt	500	0.00	3676k	Different
montsthilaire-missions-D5.txt	1000	0.01	3692k	Different
montsthilaire-missions-D6.txt	5000	0.01	3772k	Different
montsthilaire-missions-F02.txt	10	0.00	3688k	Different
montsthilaire-missions-F03.txt	10	0.00	3692k	Different
montsthilaire-missions-F04.txt	10	0.00	3768k	Different
montsthilaire-missions-F05.txt	10	0.00	3680k	Different
montsthilaire-missions-F07.txt	10	0.00	3684k	Different
montsthilaire-missions-F08.txt	10	0.00	3700k	Different
montsthilaire-missions-F09.txt	10	0.00	3528k	Different
montsthilaire-missions-F10.txt	10	0.00	3568k	Different
montsthilaire-missions-F11.txt	10	0.00	3628k	Different
montsthilaire-missions-F12.txt	10	0.00	3524k	Different
montsthilaire-missions-F13.txt	10	0.00	3592k	Different
victoria-missions-D0.txt	1	0.05	3744k	Different
victoria-missions-D1.txt	2	0.05	3580k	Different
victoria-missions-D2.txt	10	0.05	3640k	Different
victoria-missions-D3.txt	100	0.04	3576k	Different
victoria-missions-D4.txt	500	0.05	3784k	Different
victoria-missions-D5.txt	1000	0.04	3712k	Different
victoria-missions-D6.txt	5000	0.06	3572k	Different
victoria-missions-F02.txt	10	0.04	3572k	Different
victoria-missions-F03.txt	10	0.04	3688k	Different
victoria-missions-F04.txt	10	0.05	3684k	Different
victoria-missions-F05.txt	10	0.03	3536k	Different
victoria-missions-F07.txt	10	0.04	3688k	Different
victoria-missions-F08.txt	10	0.05	3576k	Different
victoria-missions-F09.txt	10	0.04	3708k	Different
victoria-missions-F10.txt	10	0.05	3708k	Different
victoria-missions-F11.txt	10	0.05	3692k	Different
victoria-missions-F12.txt	10	0.05	3712k	Different
victoria-missions-F13.txt	10	0.05	3744k	Different
montreal-missions-D0.txt	1	0.07	3528k	Different
montreal-missions-D1.txt	2	0.06	3532k	Different
montreal-missions-D2.txt	10	0.06	3732k	Different
montreal-missions-D3.txt	100	0.08	3704k	Different
montreal-missions-D4.txt	500	0.06	3572k	Different
montreal-missions-D5.txt	1000	0.10	3692k	Different
montreal-missions-D6.txt	5000	0.07	3564k	Different
montreal-missions-F02.txt	10	0.06	3536k	Different
montreal-missions-F03.txt	10	0.06	3688k	Different
montreal-missions-F04.txt	10	0.07	3732k	Different
montreal-missions-F05.txt	10	0.06	3736k	Different
montreal-missions-F07.txt	10	0.07	3532k	Different
montreal-missions-F08.txt	10	0.07	3680k	Different
montreal-missions-F09.txt	10	0.06	3692k	Different
montreal-missions-F10.txt	10	0.07	3572k	Different
montreal-missions-F11.txt	10	0.06	3516k	Different
montreal-missions-F12.txt	10	0.07	3632k	Different
montreal-missions-F13.txt	10	0.06	3704k	Different
