#Machine :  Obelix
#CPU : Intel(R) Core(TM) i7-4790K CPU @ 4.00GHz
#Date début : 20220408_121549
#Limite de 60 secondes par test
Taille des fichiers source :
  89  295 2648 carte.cpp
  56  194 1491 coordonnee.cpp
  79  260 2308 tp3.cpp
  52  131 1267 carte.h
  33   84  785 coordonnee.h
 309  964 8499 total
#
Test            	Miss	CPU	Mém.(k)	diff
uqam-missions-0.txt	1	0.00	3668k	Different
uqam-missions-1.txt	6	0.00	3692k	Different
uqam-missions-D0.txt	1	0.00	3696k	Different
uqam-missions-D1.txt	2	0.00	3680k	Different
uqam-missions-D2.txt	10	0.00	3696k	Different
uqam-missions-D3.txt	100	0.00	3696k	Different
uqam-missions-D4.txt	500	0.00	3684k	Different
uqam-missions-D5.txt	1000	0.00	3688k	Different
uqam-missions-D6.txt	5000	0.02	3532k	Different
uqam-missions-F02.txt	10	0.00	3696k	Different
uqam-missions-F03.txt	10	0.00	3620k	Different
uqam-missions-F04.txt	10	0.00	3556k	Different
uqam-missions-F05.txt	10	0.00	3520k	Different
uqam-missions-F07.txt	10	0.00	3556k	Different
uqam-missions-F08.txt	10	0.00	3692k	Different
uqam-missions-F09.txt	10	0.00	3568k	Different
uqam-missions-F10.txt	10	0.00	3676k	Different
uqam-missions-F11.txt	10	0.00	3668k	Different
uqam-missions-F12.txt	10	0.00	3696k	Different
uqam-missions-F13.txt	10	0.00	3688k	Different
stejulie-missions-D0.txt	1	0.00	4056k	Different
stejulie-missions-D1.txt	2	0.00	4052k	Different
stejulie-missions-D2.txt	10	0.00	3884k	Different
stejulie-missions-D3.txt	100	0.00	4044k	Different
stejulie-missions-D4.txt	500	0.00	4040k	Different
stejulie-missions-D5.txt	1000	0.01	4044k	Different
stejulie-missions-D6.txt	5000	0.01	4056k	Different
stejulie-missions-F02.txt	10	0.00	3948k	Different
stejulie-missions-F03.txt	10	0.00	4052k	Different
stejulie-missions-F04.txt	10	0.00	4044k	Different
stejulie-missions-F05.txt	10	0.00	4040k	Different
stejulie-missions-F07.txt	10	0.00	3888k	Different
stejulie-missions-F08.txt	10	0.00	3928k	Different
stejulie-missions-F09.txt	10	0.00	3916k	Different
stejulie-missions-F10.txt	10	0.00	4056k	Different
stejulie-missions-F11.txt	10	0.00	3880k	Different
stejulie-missions-F12.txt	10	0.00	4084k	Different
stejulie-missions-F13.txt	10	0.00	3952k	Different
montsthilaire-missions-D0.txt	1	0.01	4432k	Different
montsthilaire-missions-D1.txt	2	0.00	4568k	Different
montsthilaire-missions-D2.txt	10	0.00	4564k	Different
montsthilaire-missions-D3.txt	100	0.00	4400k	Different
montsthilaire-missions-D4.txt	500	0.00	4464k	Different
montsthilaire-missions-D5.txt	1000	0.01	4392k	Different
montsthilaire-missions-D6.txt	5000	0.01	4604k	Different
montsthilaire-missions-F02.txt	10	0.00	4564k	Different
montsthilaire-missions-F03.txt	10	0.00	4568k	Different
montsthilaire-missions-F04.txt	10	0.00	4556k	Different
montsthilaire-missions-F05.txt	10	0.00	4500k	Different
montsthilaire-missions-F07.txt	10	0.00	4444k	Different
montsthilaire-missions-F08.txt	10	0.00	4560k	Different
montsthilaire-missions-F09.txt	10	0.00	4500k	Different
montsthilaire-missions-F10.txt	10	0.01	4548k	Different
montsthilaire-missions-F11.txt	10	0.00	4400k	Different
montsthilaire-missions-F12.txt	10	0.00	4432k	Different
montsthilaire-missions-F13.txt	10	0.00	4600k	Different
victoria-missions-D0.txt	1	0.06	11836k	Different
victoria-missions-D1.txt	2	0.06	11888k	Different
victoria-missions-D2.txt	10	0.05	11772k	Different
victoria-missions-D3.txt	100	0.09	11800k	Different
victoria-missions-D4.txt	500	0.07	11740k	Different
victoria-missions-D5.txt	1000	0.05	11772k	Different
victoria-missions-D6.txt	5000	0.07	11976k	Different
victoria-missions-F02.txt	10	0.06	11908k	Different
victoria-missions-F03.txt	10	0.06	11736k	Different
victoria-missions-F04.txt	10	0.07	11904k	Different
victoria-missions-F05.txt	10	0.06	11884k	Different
victoria-missions-F07.txt	10	0.09	11772k	Different
victoria-missions-F08.txt	10	0.10	11732k	Different
victoria-missions-F09.txt	10	0.08	11792k	Different
victoria-missions-F10.txt	10	0.06	11772k	Different
victoria-missions-F11.txt	10	0.06	11884k	Different
victoria-missions-F12.txt	10	0.06	11976k	Different
victoria-missions-F13.txt	10	0.07	11776k	Different
montreal-missions-D0.txt	1	0.08	15212k	Different
montreal-missions-D1.txt	2	0.09	15168k	Different
montreal-missions-D2.txt	10	0.08	15340k	Different
montreal-missions-D3.txt	100	0.10	15168k	Different
montreal-missions-D4.txt	500	0.09	15372k	Different
montreal-missions-D5.txt	1000	0.08	15368k	Different
montreal-missions-D6.txt	5000	0.11	15208k	Different
montreal-missions-F02.txt	10	0.09	15204k	Different
montreal-missions-F03.txt	10	0.09	15208k	Different
montreal-missions-F04.txt	10	0.09	15168k	Different
montreal-missions-F05.txt	10	0.08	15340k	Different
montreal-missions-F07.txt	10	0.09	15324k	Different
montreal-missions-F08.txt	10	0.10	15320k	Different
montreal-missions-F09.txt	10	0.10	15172k	Different
montreal-missions-F10.txt	10	0.06	15316k	Different
montreal-missions-F11.txt	10	0.08	15336k	Different
montreal-missions-F12.txt	10	0.09	15372k	Different
montreal-missions-F13.txt	10	0.08	15372k	Different
